client_id,group,journeys,completed_journeys,completed,furthest_step,step_backs,repeated_steps,completion_time_s,effective_time_s,error_rate_a,error_rate_b,step_backs_per_journey,abandoned,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,age_band
555,Test,1,1,True,4,0,0,158.0,158.0,0.0,0.0,0.0,False,3.0,46.0,29.5,U,2.0,25454.66,2.0,6.0,<35
647,Test,1,1,True,4,0,0,377.0,377.0,0.0,0.0,0.0,False,12.0,151.0,57.5,M,2.0,30525.8,0.0,4.0,50-65
934,Test,1,0,False,0,0,3,,,3.0,0.0,0.0,True,9.0,109.0,51.0,F,2.0,32522.88,0.0,3.0,50-65
1028,Control,1,0,False,3,2,2,,,2.0,2.0,2.0,True,12.0,145.0,36.0,M,3.0,103520.22,1.0,4.0,35-50
1104,Control,2,0,False,0,0,0,,,0.0,0.0,0.0,True,5.0,66.0,48.0,U,3.0,154643.94,6.0,9.0,35-50
1186,Control,2,0,False,2,0,0,,,0.0,0.0,0.0,True,8.0,99.0,22.0,U,2.0,31662.52,0.0,3.0,<35
1195,Control,1,1,True,4,0,0,245.0,245.0,0.0,0.0,0.0,False,21.0,262.0,54.5,M,2.0,28457.96,2.0,5.0,50-65
1197,Control,1,1,True,4,1,0,95.0,84.0,0.0,1.0,1.0,False,7.0,85.0,28.5,U,5.0,177062.14,5.0,8.0,<35
1336,Test,1,1,True,4,0,0,211.0,211.0,0.0,0.0,0.0,False,48.0,576.0,42.0,M,4.0,130537.18,6.0,9.0,35-50
1346,Test,1,0,False,3,2,2,,,2.0,2.0,2.0,True,14.0,177.0,46.0,F,2.0,822512.91,3.0,6.0,35-50
1368,Control,1,0,False,0,0,0,,,0.0,0.0,0.0,True,5.0,60.0,45.0,F,3.0,61956.25,6.0,9.0,35-50
1516,Test,2,1,True,4,3,3,954.0,954.0,1.5,1.5,1.5,False,12.0,150.0,58.5,F,2.0,25408.39,5.0,8.0,50-65
1643,Test,3,1,True,4,1,1,688.0,688.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,19.0,229.0,55.0,M,2.0,81731.39,0.0,3.0,50-65
1755,Test,2,1,True,4,0,0,223.0,223.0,0.0,0.0,0.0,False,9.0,110.0,46.5,M,2.0,179775.21999999997,0.0,3.0,35-50
1836,Test,3,1,True,4,1,0,117.0,117.0,0.0,0.3333333333333333,0.3333333333333333,False,13.0,157.0,51.5,M,2.0,826232.62,4.0,7.0,50-65
1936,Test,1,1,True,4,1,3,208.0,109.0,3.0,1.0,1.0,False,5.0,63.0,26.5,M,2.0,52447.9,6.0,9.0,<35
2439,Control,1,0,False,0,0,0,,,0.0,0.0,0.0,True,11.0,142.0,56.0,M,2.0,504142.55,0.0,3.0,50-65
2581,Control,1,0,False,0,0,0,,,0.0,0.0,0.0,True,4.0,58.0,22.0,M,2.0,24976.79,1.0,4.0,<35
2720,Test,1,0,False,0,0,2,,,2.0,0.0,0.0,True,9.0,117.0,25.0,M,3.0,81536.0,6.0,9.0,<35
3232,Test,1,1,True,4,0,0,320.0,320.0,0.0,0.0,0.0,False,9.0,116.0,52.0,F,2.0,45617.96,3.0,6.0,50-65
3572,Test,1,1,True,4,0,0,255.0,255.0,0.0,0.0,0.0,False,15.0,189.0,54.5,M,2.0,84673.58,0.0,3.0,50-65
3647,Control,2,0,False,3,1,0,,,0.0,0.5,0.5,True,15.0,190.0,63.0,F,2.0,154244.15,4.0,7.0,50-65
3743,Control,1,1,True,4,0,0,292.0,292.0,0.0,0.0,0.0,False,6.0,75.0,30.0,U,3.0,48262.21,3.0,6.0,<35
4369,Test,1,1,True,4,0,0,632.0,632.0,0.0,0.0,0.0,False,14.0,172.0,70.5,F,2.0,191263.96,0.0,3.0,65+
4484,Test,1,1,True,4,0,2,1672.0,601.0,2.0,0.0,0.0,False,16.0,199.0,48.5,M,2.0,51499.77,2.0,5.0,35-50
4603,Test,1,1,True,4,0,0,159.0,159.0,0.0,0.0,0.0,False,12.0,154.0,38.5,F,2.0,48726.26,6.0,9.0,35-50
4717,Test,2,1,True,4,1,0,183.0,183.0,0.0,0.5,0.5,False,7.0,86.0,58.0,U,2.0,1739571.5499999998,6.0,9.0,50-65
4870,Test,1,1,True,4,0,0,412.0,412.0,0.0,0.0,0.0,False,21.0,253.0,26.5,M,3.0,89408.8,6.0,9.0,<35
5354,Control,2,1,True,4,0,0,90.0,90.0,0.0,0.0,0.0,False,4.0,58.0,50.5,U,2.0,62282.38,2.0,5.0,50-65
5845,Test,2,0,False,3,0,1,,,0.5,0.0,0.0,True,23.0,280.0,76.0,F,2.0,213906.62,2.0,5.0,65+
6022,Test,1,0,False,1,1,0,,,0.0,1.0,1.0,True,7.0,92.0,30.0,U,2.0,36485.55,6.0,9.0,<35
6150,Test,1,0,False,0,0,0,,,0.0,0.0,0.0,True,27.0,329.0,67.0,F,2.0,199928.94,2.0,6.0,65+
6642,Control,1,1,True,4,0,0,443.0,443.0,0.0,0.0,0.0,False,12.0,149.0,35.5,M,2.0,34987.23,0.0,3.0,35-50
6904,Test,1,1,True,4,0,0,125.0,125.0,0.0,0.0,0.0,False,12.0,155.0,64.5,M,2.0,348285.51,6.0,9.0,50-65
6977,Control,1,1,True,4,0,0,227.0,227.0,0.0,0.0,0.0,False,4.0,57.0,53.0,U,2.0,26011.36,0.0,3.0,50-65
6985,Control,1,1,True,4,0,1,626.0,331.0,1.0,0.0,0.0,False,7.0,89.0,61.5,U,3.0,84975.6,6.0,9.0,50-65
7020,Control,2,1,True,4,1,0,236.0,215.0,0.0,0.5,0.5,False,16.0,195.0,41.5,F,2.0,63648.09,2.0,5.0,35-50
7561,Test,2,0,False,2,1,0,,,0.0,0.5,0.5,True,11.0,141.0,33.0,M,2.0,35070.619999999995,6.0,9.0,<35
